AccelActuPosHSC1,EnSpdHSC1,MSLongAccelGHSC,EnToqActuExtdRngHSC1,VehSpdAvgDrvnHSC1,VehSpdAvgNonDrvnHSC1,AutocTrCmddGear_TCMHSC1,TrEstdGear_TCMHSC1,EnActuStdyStaToq_LSBHSC1,EnActuStdyStaToq_MSBHSC1,kickdown
0,1507,-0.019,-13.5,36.688,36.547,4,4,-845.5,832,0
0,1506,-0.029,-13.5,36.672,36.516,4,4,-845.5,832,0
0,1510,-0.002,-13.5,36.672,36.516,4,4,-847,832,0
0,1500.5,-0.008,-15,36.516,36.328,4,4,-847,832,0
0,1494.5,-0.019,-15,36.516,36.328,4,4,-847,832,0
0,1499.5,-0.019,-15,36.484,36.25,4,4,-847,832,0
0,1497.5,0,-15,36.484,36.25,4,4,-847,832,0
0,1486.5,-0.005,-15,36.438,36.234,4,4,-847,832,0
0,1485.5,-0.027,-15,36.438,36.234,4,4,-847,832,0
0,1489,-0.021,-15,36.266,36.063,4,4,-847,832,0
0,1481,-0.014,-15,36.266,36.063,4,4,-847,832,0
0,1474,-0.008,-15,36.047,36.063,4,4,-847,832,0
0,1477.5,-0.035,-15,36.047,36.063,4,4,-847,832,0
0,1479,-0.014,-15,35.859,36,4,4,-847,832,0
0,1467.5,-0.01,-15,35.859,36,4,4,-847,832,0
0,1465,-0.019,-14.5,35.828,35.797,4,4,-846.5,832,0
0,1470.5,-0.016,-14.5,35.828,35.797,4,4,-847,832,0
0,1466.5,-0.013,-15,35.609,35.703,4,4,-847,832,0
0,1459,-0.014,-14.5,35.609,35.703,4,4,-846.5,832,0
0,1458.5,-0.019,-15,35.594,35.578,4,4,-846.5,832,0
0,1461,-0.01,-14.5,35.594,35.578,4,4,-846.5,832,0
0,1454,-0.014,-14.5,35.391,35.438,4,4,-846.5,832,0
0,1448.5,-0.021,-15,35.391,35.438,4,4,-846.5,832,0
0,1450,-0.022,-14.5,35.328,35.375,4,4,-846.5,832,0
0,1449.5,-0.021,-15,35.328,35.375,4,4,-847,832,0
0,1444,-0.026,-14.5,35.156,35.203,4,4,-846.5,832,0
0,1436,-0.033,-14.5,35.156,35.203,4,4,-846.5,832,0
0,1436,-0.038,-14.5,35.063,35.016,4,4,-846.5,832,0
0,1434,-0.037,-14.5,35.063,35.016,4,4,-846.5,832,0
0,1427,-0.03,-14.5,34.828,34.859,4,4,-846.5,832,0
0,1421.5,-0.038,-14.5,34.828,34.859,4,4,-846.5,832,0
0,1419.5,-0.043,-14.5,34.719,34.672,4,4,-846.5,832,0
0,1417.5,-0.045,-14.5,34.719,34.672,4,4,-846.5,832,0
0,1415,-0.038,-14.5,34.469,34.375,4,4,-846.5,832,0
0,1405,-0.051,-14.5,34.469,34.375,4,4,-846.5,832,0
0,1403,-0.045,-14.5,34.25,34.234,4,4,-846.5,832,0
0,1400.5,-0.041,-14.5,34.25,34.234,4,4,-846.5,832,0
0,1392,-0.045,-14.5,34.016,33.859,4,4,-846.5,832,0
0,1387.5,-0.045,-14.5,34.016,33.859,4,4,-846.5,832,0
0,1385,-0.049,-14.5,33.906,33.641,4,4,-846.5,832,0
0,1381,-0.04,-14.5,33.906,33.641,4,4,-846.5,832,0
0,1375,-0.03,-14.5,33.578,33.438,4,4,-846.5,832,0
0,1369,-0.043,-14.5,33.578,33.438,4,4,-846.5,832,0
0,1366.5,-0.054,-14.5,33.406,33,4,4,-846.5,832,0
0,1360,-0.067,-14.5,33.406,33,4,4,-846.5,832,0
0,1353.5,-0.08,-14.5,33.172,33.063,4,4,-846.5,832,0
0,1346,-0.077,-14.5,33.172,33.063,4,4,-846.5,832,0
0,1341.5,-0.073,-14.5,32.797,32.75,4,4,-846.5,832,0
0,1333,-0.069,-14.5,32.797,32.75,4,4,-846.5,832,0
0,1325,-0.078,-14.5,32.469,32.5,4,4,-846.5,832,0
0,1318.5,-0.07,-14,32.469,32.5,4,4,-846,832,0
0,1311.5,-0.085,-14,32.188,32,4,4,-846,832,0
0,1306,-0.078,-14,32.188,32,4,4,-846,832,0
0,1296.5,-0.08,-14,31.797,31.828,4,4,-846,832,0
0,1290,-0.081,-14,31.797,31.828,4,4,-846,832,0
0,1283,-0.086,-14,31.469,31.438,4,4,-846,832,0
0,1277.5,-0.083,-14,31.469,31.438,4,4,-846,832,0
0,1272.5,-0.086,-14,31.109,30.984,4,4,-846,832,0
0,1266,-0.083,-14,31.109,30.984,4,4,-846,832,0
0,1258,-0.086,-14,30.828,30.828,4,4,-846,832,0
0,1251,-0.078,-13.5,30.828,30.828,4,4,-845.5,832,0
0,1242.5,-0.078,-13.5,30.516,30.391,4,4,-845.5,832,0
0,1235,-0.08,-13.5,30.516,30.391,4,4,-845.5,832,0
0,1227.5,-0.088,-13.5,30.188,30.109,4,4,-845.5,832,0
0,1221,-0.085,-13.5,30.188,30.109,4,4,-845.5,832,0
